contrast,effect,count,mean,sample_stdev,standard_error,confirmatory_test
neutral_minus_feedback_only,overall,10,0.0009711888144617357,0.0029681156282569668,0.0009386005744033639,
neutral_minus_feedback_only,extraversion,10,-0.0009313454596849623,0.0014430783027964105,0.0004563414278806789,
neutral_minus_feedback_only,neuroticism,10,2.3980670327242997e-05,0.000918463564664449,0.00029044368122170024,
neutral_minus_feedback_only,interaction,10,0.00047194571767856055,0.0014221298710378808,0.0004497169521041228,
supportive_minus_neutral,overall,10,0.0030132265065428024,0.0017239957707485898,0.0005451753312063032,
supportive_minus_neutral,extraversion,10,0.00031274692980029316,0.0007935931808717358,0.0002509561987132654,
supportive_minus_neutral,neuroticism,10,0.00022424228615515557,0.0005850341268514166,0.00018500403497783484,
supportive_minus_neutral,interaction,10,-0.00046064084453973904,0.0009880340972106768,0.0003124438153093956,
supportive_minus_feedback_only,overall,10,0.003984415321004538,0.003683323388689914,0.0011647691267229806,
supportive_minus_feedback_only,extraversion,10,-0.0006185985298846692,0.0019928431533224648,0.0006301923383971138,
supportive_minus_feedback_only,neuroticism,10,0.00024822295648239826,0.0005842483472601869,0.00018475554965311864,
supportive_minus_feedback_only,interaction,10,1.1304873138821489e-05,0.0009692677274344634,0.0003065093681188177,
