schema_version,snapshot_id,suffix_id,suffix_text_sha256,persona_id,persona_quadrant,persona_template_id,extraversion,neuroticism,axis,layer_relative,layer_absolute,cosine_score,persona_axis_median
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,positive,-5,23,-0.16148093342781067,-0.025700511410832405
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,positive,-6,22,-0.1427765041589737,-0.025700511410832405
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,positive,-7,21,-0.002752651460468769,-0.025700511410832405
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,positive,-8,20,-0.025700511410832405,-0.025700511410832405
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,positive,-9,19,0.09638596326112747,-0.025700511410832405
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,negative,-5,23,0.08202292025089264,0.043287619948387146
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,negative,-6,22,0.11843927949666977,0.043287619948387146
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,negative,-7,21,0.043287619948387146,0.043287619948387146
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,negative,-8,20,-0.11350537091493607,0.043287619948387146
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,negative,-9,19,-0.21426498889923096,0.043287619948387146
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,frustration,-5,23,-0.10311352461576462,-0.01820092462003231
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,frustration,-6,22,-0.02859393134713173,-0.01820092462003231
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,frustration,-7,21,-0.01820092462003231,-0.01820092462003231
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,frustration,-8,20,0.10565588623285294,-0.01820092462003231
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n,high_e_high_n,v1,high,high,frustration,-9,19,0.03206029161810875,-0.01820092462003231
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,positive,-5,23,-0.15271896123886108,-0.032415520399808884
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,positive,-6,22,-0.13283824920654297,-0.032415520399808884
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,positive,-7,21,-0.01849590614438057,-0.032415520399808884
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,positive,-8,20,-0.032415520399808884,-0.032415520399808884
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,positive,-9,19,0.08752018958330154,-0.032415520399808884
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,negative,-5,23,0.07849826663732529,0.038421276956796646
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,negative,-6,22,0.11204583942890167,0.038421276956796646
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,negative,-7,21,0.038421276956796646,0.038421276956796646
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,negative,-8,20,-0.10493139177560806,0.038421276956796646
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,negative,-9,19,-0.21448083221912384,0.038421276956796646
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,frustration,-5,23,-0.1059124618768692,-0.02203058823943138
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,frustration,-6,22,-0.03222288936376572,-0.02203058823943138
