seed,quadrant,axis,contrast,template_count,slope,r5_minus_r1
3001,high_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0009241409599781037,-0.002955752114454905
3001,high_e_low_n,joyful,neutral_minus_feedback_only,3,-0.000876007229089737,-0.0026525184512138367
3001,low_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0009989708662033081,-0.003808783988157908
3001,low_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0008804534872372947,-0.003196549912293752
3002,high_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0009241409599781037,-0.002955752114454905
3002,high_e_low_n,joyful,neutral_minus_feedback_only,3,-0.000876007229089737,-0.0026525184512138367
3002,low_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0009989708662033081,-0.003808783988157908
3002,low_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0008804534872372947,-0.003196549912293752
3003,high_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0019351286192735037,-0.006848978499571483
3003,high_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0019199147820472718,-0.006698884069919586
3003,low_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0020001607636610666,-0.007610696057478587
3003,low_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0019003011286258698,-0.0071777453025182085
3004,high_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0003971705834070842,-0.0019428928693135579
3004,high_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0009013784428437551,-0.003740211327870687
3004,low_e_high_n,joyful,neutral_minus_feedback_only,3,-0.00020351732770601915,-0.001707973579565684
3004,low_e_low_n,joyful,neutral_minus_feedback_only,3,0.00030005698402722677,0.0007741823792457581
3005,high_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0009241409599781037,-0.002955752114454905
3005,high_e_low_n,joyful,neutral_minus_feedback_only,3,-0.000876007229089737,-0.0026525184512138367
3005,low_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0009989708662033081,-0.003808783988157908
3005,low_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0008804534872372947,-0.003196549912293752
3006,high_e_high_n,joyful,neutral_minus_feedback_only,3,0.0006523333489894867,0.004486983021100362
3006,high_e_low_n,joyful,neutral_minus_feedback_only,3,0.0007862220207850138,0.005036212503910065
3006,low_e_high_n,joyful,neutral_minus_feedback_only,3,0.0004810551802317302,0.003566188116868337
3006,low_e_low_n,joyful,neutral_minus_feedback_only,3,0.0006804786622524262,0.004461464782555898
3007,high_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0010979034006595612,-0.003766849637031555
3007,high_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0012291014194488526,-0.0042880624532699585
3007,low_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0009989708662033081,-0.003808783988157908
3007,low_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0008804534872372947,-0.003196549912293752
3008,high_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0008718587458133697,-0.0026943410436312356
3008,high_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0009818114340305328,-0.003181539475917816
3008,low_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0008853524923324585,-0.00324069211880366
3008,low_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0009746372699737549,-0.0036674688259760537
3009,high_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0008731837073961894,-0.004383064806461334
3009,high_e_low_n,joyful,neutral_minus_feedback_only,3,-0.000952305148045222,-0.004678723712762197
3009,low_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0009980368117491405,-0.005158556004365285
3009,low_e_low_n,joyful,neutral_minus_feedback_only,3,-0.0009892841180165607,-0.005080978075663249
3010,high_e_high_n,joyful,neutral_minus_feedback_only,3,-0.0005437349279721577,-0.00272588183482488
3010,high_e_low_n,joyful,neutral_minus_feedback_only,3,-0.00043472175796826644,-0.002364660302797953
3010,low_e_high_n,joyful,neutral_minus_feedback_only,3,-0.000498480101426443,-0.00261663148800532
3010,low_e_low_n,joyful,neutral_minus_feedback_only,3,-0.000408731400966644,-0.0022329390048980713
3001,high_e_high_n,joyful,supportive_minus_neutral,3,0.0024637495477994285,0.00800656775633494
3001,high_e_low_n,joyful,supportive_minus_neutral,3,0.002234032501777013,0.006820797920227051
3001,low_e_high_n,joyful,supportive_minus_neutral,3,0.0026416068275769552,0.009331516921520233
3001,low_e_low_n,joyful,supportive_minus_neutral,3,0.002392788976430893,0.008023050924142202
3002,high_e_high_n,joyful,supportive_minus_neutral,3,0.0024637495477994285,0.00800656775633494
3002,high_e_low_n,joyful,supportive_minus_neutral,3,0.002234032501777013,0.006820797920227051
3002,low_e_high_n,joyful,supportive_minus_neutral,3,0.0026416068275769552,0.009331516921520233
3002,low_e_low_n,joyful,supportive_minus_neutral,3,0.002392788976430893,0.008023050924142202
3003,high_e_high_n,joyful,supportive_minus_neutral,3,0.0023826926946640013,0.007798127830028534
3003,high_e_low_n,joyful,supportive_minus_neutral,3,0.0022160552442073824,0.00696494181950887
3003,low_e_high_n,joyful,supportive_minus_neutral,3,0.002455235520998637,0.008515261113643646
3003,low_e_low_n,joyful,supportive_minus_neutral,3,0.0022810752193133037,0.007741525769233704
3004,high_e_high_n,joyful,supportive_minus_neutral,3,0.0006125810245672862,0.0007086868087450663
3004,high_e_low_n,joyful,supportive_minus_neutral,3,0.0010844647884368896,0.002294446031252543
3004,low_e_high_n,joyful,supportive_minus_neutral,3,0.0011578418314456941,0.0028200248877207437
3004,low_e_low_n,joyful,supportive_minus_neutral,3,0.0005429533620675405,-0.0003411745031674703
3005,high_e_high_n,joyful,supportive_minus_neutral,3,0.0024637495477994285,0.00800656775633494
3005,high_e_low_n,joyful,supportive_minus_neutral,3,0.002234032501777013,0.006820797920227051
3005,low_e_high_n,joyful,supportive_minus_neutral,3,0.0026416068275769552,0.009331516921520233
3005,low_e_low_n,joyful,supportive_minus_neutral,3,0.002392788976430893,0.008023050924142202
3006,high_e_high_n,joyful,supportive_minus_neutral,3,0.0011227287352085114,0.0022703160842259726
3006,high_e_low_n,joyful,supportive_minus_neutral,3,0.0008766541878382364,0.0011537621418635051
3006,low_e_high_n,joyful,supportive_minus_neutral,3,0.0012518723805745443,0.0030794739723205566
3006,low_e_low_n,joyful,supportive_minus_neutral,3,0.0010296590626239777,0.0020576665798823037
3007,high_e_high_n,joyful,supportive_minus_neutral,3,0.0024545460939407347,0.008010474344094595
3007,high_e_low_n,joyful,supportive_minus_neutral,3,0.0019920522967974345,0.005844006935755412
3007,low_e_high_n,joyful,supportive_minus_neutral,3,0.0026416068275769552,0.009331516921520233
3007,low_e_low_n,joyful,supportive_minus_neutral,3,0.002392788976430893,0.008023050924142202
3008,high_e_high_n,joyful,supportive_minus_neutral,3,0.0018051321307818095,0.004713480671246846
3008,high_e_low_n,joyful,supportive_minus_neutral,3,0.0017613492906093599,0.0044573818643887835
3008,low_e_high_n,joyful,supportive_minus_neutral,3,0.0018725221355756123,0.005486093461513519
3008,low_e_low_n,joyful,supportive_minus_neutral,3,0.0018210264543692273,0.005164238313833873
3009,high_e_high_n,joyful,supportive_minus_neutral,3,0.003023648262023926,0.01107331116994222
3009,high_e_low_n,joyful,supportive_minus_neutral,3,0.002905195454756419,0.01049326111872991
3009,low_e_high_n,joyful,supportive_minus_neutral,3,0.003188272068897883,0.012035131454467773
3009,low_e_low_n,joyful,supportive_minus_neutral,3,0.0030164110163847604,0.011166483163833618
3010,high_e_high_n,joyful,supportive_minus_neutral,3,0.0007563623289267221,0.0019016315539677937
3010,high_e_low_n,joyful,supportive_minus_neutral,3,0.000638352086146672,0.0014424175024032593
3010,low_e_high_n,joyful,supportive_minus_neutral,3,0.0007440904776255291,0.0018275628487269084
3010,low_e_low_n,joyful,supportive_minus_neutral,3,0.0005875063439210255,0.0011951401829719543
3001,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.0015396085878213246,0.005050815641880035
3001,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.001358025272687276,0.004168279469013214
3001,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.001642635961373647,0.005522732933362325
3001,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0015123354891935985,0.00482650101184845
3002,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.0015396085878213246,0.005050815641880035
3002,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.001358025272687276,0.004168279469013214
3002,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.001642635961373647,0.005522732933362325
3002,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0015123354891935985,0.00482650101184845
3003,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.0004475640753904978,0.0009491493304570516
3003,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.0002961404621601105,0.00026605774958928424
3003,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.0004550747573375702,0.0009045650561650594
3003,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0003807740906874339,0.0005637804667154948
3004,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.00021541044116020204,-0.0012342060605684917
3004,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.00018308634559313454,-0.0014457652966181438
3004,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.0009543245037396749,0.0011120513081550598
3004,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0008430103460947673,0.0004330078760782878
3005,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.0015396085878213246,0.005050815641880035
3005,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.001358025272687276,0.004168279469013214
3005,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.001642635961373647,0.005522732933362325
3005,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0015123354891935985,0.00482650101184845
3006,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.001775062084197998,0.006757299105326335
3006,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.0016628762086232504,0.00618997464577357
3006,low_e_high_n,joyful,supportive_minus_feedback_only,3,0.0017329275608062745,0.006645662089188893
3006,low_e_low_n,joyful,supportive_minus_feedback_only,3,0.0017101377248764037,0.006519131362438202
3007,high_e_high_n,joyful,supportive_minus_feedback_only,3,0.0013566426932811737,0.004243624707063039
3007,high_e_low_n,joyful,supportive_minus_feedback_only,3,0.0007629508773485819,0.0015559444824854534
