axis,contrast,effect,count,mean,sample_stdev,standard_error,confirmatory_test
joyful,neutral_minus_feedback_only,overall,10,-0.0028082221746444703,0.0029248486331818814,0.0009249183492085082,
joyful,neutral_minus_feedback_only,extraversion,10,0.00015487372875213623,0.0009837562596855837,0.0003110910443054524,
joyful,neutral_minus_feedback_only,neuroticism,10,-0.0002581335604190825,0.000341180950422745,0.00010789088975968619,
joyful,neutral_minus_feedback_only,interaction,10,0.0007424955566724139,0.0012786828384190197,0.00040435501743731593,
joyful,supportive_minus_neutral,overall,10,0.0060943510383367535,0.003376430655402799,0.0010677211232687951,
joyful,supportive_minus_neutral,extraversion,10,-0.0008278677860895795,0.0006325072956720655,0.00020001636909972885,
joyful,supportive_minus_neutral,neuroticism,10,0.000969832638899485,0.00042087907340196466,0.00013309364914514002,
joyful,supportive_minus_neutral,interaction,10,-0.00046304116646448746,0.0015384335351502855,0.0004864953999859613,
joyful,supportive_minus_feedback_only,overall,10,0.0032861288636922836,0.0027423385963046597,0.0008672036079711736,
joyful,supportive_minus_feedback_only,extraversion,10,-0.000672994057337443,0.0008298608630663006,0.00026242504683226126,
joyful,supportive_minus_feedback_only,neuroticism,10,0.0007116990784804025,0.0004121393125175324,0.00013032989408513467,
joyful,supportive_minus_feedback_only,interaction,10,0.0002794543902079264,0.0006539601807262935,0.00020680036701504337,
grief_stricken,neutral_minus_feedback_only,overall,10,-0.006650962928930918,0.0022832231682155535,0.0007220185618026914,
grief_stricken,neutral_minus_feedback_only,extraversion,10,-0.0008050267895062756,0.0005638385097415677,0.00017830139232983907,
grief_stricken,neutral_minus_feedback_only,neuroticism,10,0.00018734882275263452,0.00029195211890673873,9.232336634576021e-05,
grief_stricken,neutral_minus_feedback_only,interaction,10,-0.00034224589665730827,0.0003726016765405993,0.00011782699578656216,
grief_stricken,supportive_minus_neutral,overall,10,0.0014558915048837663,0.0022448631961960704,0.0007098880735465019,
grief_stricken,supportive_minus_neutral,extraversion,10,0.0009139386316140491,0.0003142468890131883,9.937359169038173e-05,
grief_stricken,supportive_minus_neutral,neuroticism,10,-0.00014708464344342548,0.00025511165856311255,8.06733898722634e-05,
grief_stricken,supportive_minus_neutral,interaction,10,7.974455753962189e-05,0.000548520376411842,0.0001734573732474318,
grief_stricken,supportive_minus_feedback_only,overall,10,-0.005195071424047152,0.0033993828199199933,0.0010749792349793183,
grief_stricken,supportive_minus_feedback_only,extraversion,10,0.00010891184210777289,0.0006962239232103859,0.00022016533588429884,
grief_stricken,supportive_minus_feedback_only,neuroticism,10,4.0264179309209095e-05,0.00041072306681204883,0.00012988203786955867,
grief_stricken,supportive_minus_feedback_only,interaction,10,-0.0002625013391176859,0.0007171323457863901,0.00022677715964644467,
furious,neutral_minus_feedback_only,overall,10,0.0040772662653277315,0.004111737089045991,0.0013002454341175898,
furious,neutral_minus_feedback_only,extraversion,10,0.00044904105986158055,0.00020830916666972156,6.58731424167952e-05,
furious,neutral_minus_feedback_only,neuroticism,10,-7.322781408826523e-05,0.0002096763184990114,6.630547378557736e-05,
furious,neutral_minus_feedback_only,interaction,10,0.0002455461149414382,0.00017091132650470014,5.40469069675557e-05,
furious,supportive_minus_neutral,overall,10,-0.0034830421519776184,0.0034426265330838152,0.0010886540977873866,
furious,supportive_minus_neutral,extraversion,10,-0.0003419634575645128,0.00031555705937322406,9.978790393643732e-05,
furious,supportive_minus_neutral,neuroticism,10,0.0002599362904826803,0.00020381169780065637,6.445091788360045e-05,
furious,supportive_minus_neutral,interaction,10,-0.00011967755854129817,9.383244262046803e-05,2.9672423709773735e-05,
furious,supportive_minus_feedback_only,overall,10,0.0005942241133501132,0.0037657056876116085,0.0011908206970703194,
furious,supportive_minus_feedback_only,extraversion,10,0.00010707760229706768,0.00044101060450833204,0.00013945979825340506,
furious,supportive_minus_feedback_only,neuroticism,10,0.0001867084763944149,0.00016509671223983256,5.220816448832699e-05,
furious,supportive_minus_feedback_only,interaction,10,0.0001258685564001401,0.00021371979215289332,6.758413242609239e-05,
