seed,quadrant,template,persona_id,axis,contrast,slope,r5_minus_r1
3001,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,-0.0009661287069320679,-0.0030552446842193604
3001,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0010002128779888154,-0.0033436566591262817
3001,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0008060812950134277,-0.0024683550000190735
3001,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,-0.0009402319788932802,-0.002859070897102356
3001,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.000930248200893402,-0.0029356777667999268
3001,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0007575415074825289,-0.0021628066897392273
3001,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,-0.0010166309773921968,-0.0035740062594413757
3001,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0010492645204067228,-0.004119768738746643
3001,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0009310171008110046,-0.0037325769662857056
3001,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,-0.0008904412388801577,-0.0029993578791618347
3001,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0009124070405960084,-0.003279954195022583
3001,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0008385121822357179,-0.0033103376626968384
3002,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,-0.0009661287069320679,-0.0030552446842193604
3002,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0010002128779888154,-0.0033436566591262817
3002,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0008060812950134277,-0.0024683550000190735
3002,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,-0.0009402319788932802,-0.002859070897102356
3002,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.000930248200893402,-0.0029356777667999268
3002,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0007575415074825289,-0.0021628066897392273
3002,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,-0.0010166309773921968,-0.0035740062594413757
3002,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0010492645204067228,-0.004119768738746643
3002,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0009310171008110046,-0.0037325769662857056
3002,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,-0.0008904412388801577,-0.0029993578791618347
3002,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0009124070405960084,-0.003279954195022583
3002,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0008385121822357179,-0.0033103376626968384
3003,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,-0.0019573330879211425,-0.006888009607791901
3003,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.001957123726606369,-0.007088586688041687
3003,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0018909290432929994,-0.006570339202880859
3003,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,-0.0019721098244190214,-0.006873585283756256
3003,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0019279256463050844,-0.006879910826683044
3003,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0018597088754177095,-0.006343156099319458
3003,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,-0.0019829899072647096,-0.007346220314502716
3003,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0019764602184295654,-0.00763469934463501
3003,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0020410321652889253,-0.007851168513298035
3003,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,-0.0019082151353359222,-0.00704839825630188
3003,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0018599502742290496,-0.007083922624588013
3003,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0019327379763126374,-0.007400915026664734
3004,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,-0.0010563895106315614,-0.004711516201496124
3004,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,0.0008264198899269103,0.0033494308590888977
3004,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0009615421295166016,-0.004466593265533447
3004,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,-0.0010729551315307618,-0.004800222814083099
3004,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0009847767651081085,-0.003641754388809204
3004,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.000646403431892395,-0.002778656780719757
3004,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,-0.0009915404021739959,-0.004965506494045258
3004,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,0.0009339340031147003,0.003607340157032013
3004,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0005529455840587619,-0.0037657544016838074
3004,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,-0.001024726778268814,-0.004924274981021881
3004,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,0.0009559690952301024,0.003655672073364258
3004,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,0.0009689286351203919,0.0035911500453948975
3005,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,-0.0009661287069320679,-0.0030552446842193604
3005,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0010002128779888154,-0.0033436566591262817
3005,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0008060812950134277,-0.0024683550000190735
3005,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,-0.0009402319788932802,-0.002859070897102356
3005,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.000930248200893402,-0.0029356777667999268
3005,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0007575415074825289,-0.0021628066897392273
3005,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,-0.0010166309773921968,-0.0035740062594413757
3005,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0010492645204067228,-0.004119768738746643
3005,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0009310171008110046,-0.0037325769662857056
3005,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,-0.0008904412388801577,-0.0029993578791618347
3005,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0009124070405960084,-0.003279954195022583
3005,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0008385121822357179,-0.0033103376626968384
3006,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,0.0006530307233333587,0.004550248384475708
3006,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,0.0005446612834930421,0.003993965685367584
3006,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,0.0007593080401420594,0.004916734993457794
3006,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,0.0007834471762180327,0.005166538059711456
3006,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,0.000688527524471283,0.004535451531410217
3006,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,0.0008866913616657258,0.0054066479206085205
3006,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,0.0004634283483028413,0.0036582574248313904
3006,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,0.0003818884491920472,0.003091663122177124
3006,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,0.0005978487432003021,0.003948643803596497
3006,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,0.0006699196994304656,0.004595927894115448
3006,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,0.0006234146654605867,0.004182063043117523
3006,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,0.0007481016218662261,0.004606403410434723
3007,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,-0.0009661287069320679,-0.0030552446842193604
